EngagementID ,TimeStart               ,TimeEnd                 ,TimeSpent ,IsCompleted ,EmployeeID ,ModuleID ,CourseID
          76 ,2024-10-03 19:53:13.367 ,2024-10-03 19:53:18.266 ,        4 ,True        ,         1 ,      20 ,       6
          77 ,2024-10-04 04:32:48.969 ,2024-10-04 04:32:50.128 ,        3 ,True        ,         1 ,      30 ,       8
          80 ,2024-10-04 04:32:50.129 ,2024-10-04 04:32:52.289 ,        2 ,True        ,         1 ,      31 ,       8
          78 ,2024-10-04 04:32:52.289 ,2024-10-04 04:32:55.520 ,        5 ,True        ,         1 ,      32 ,       8
          81 ,2024-10-04 04:32:55.521 ,2024-10-04 04:32:59.072 ,        3 ,True        ,         1 ,      28 ,       8
          79 ,2024-10-04 04:32:59.073 ,2024-10-04 04:33:04.057 ,        7 ,True        ,         1 ,      29 ,       8
          82 ,2024-10-04 05:05:46.097 ,2024-10-04 05:05:56.465 ,       10 ,True        ,         6 ,      13 ,       5
          83 ,2024-10-04 06:15:14.992 ,2024-10-04 06:15:31.720 ,       16 ,True        ,         6 ,      18 ,       6
          84 ,2024-10-04 06:15:31.720 ,2024-10-04 06:15:41.840 ,       10 ,True        ,         6 ,      19 ,       6
          85 ,2024-10-04 06:16:16.968 ,2024-10-04 06:16:19.912 ,        2 ,True        ,         6 ,      20 ,       6
          86 ,2024-10-04 06:16:27.503 ,2024-10-04 06:16:28.423 ,        0 ,True        ,         6 ,      21 ,       6
          87 ,2024-10-04 06:16:30.504 ,2024-10-04 06:16:31.528 ,        1 ,True        ,         6 ,      22 ,       6
          88 ,2024-10-04 07:27:46.419 ,2024-10-04 07:28:22.002 ,       35 ,True        ,         5 ,      33 ,       9
          90 ,2024-10-04 11:55:00.392 ,2024-10-04 11:55:06.128 ,        5 ,True        ,         1 ,      23 ,       7
          91 ,2024-10-04 11:55:06.128 ,2024-10-04 11:55:20.791 ,       14 ,True        ,         1 ,      24 ,       7
          92 ,2024-10-04 11:55:20.791 ,2024-10-04 11:55:36.504 ,       15 ,True        ,         1 ,      25 ,       7
          93 ,2024-10-04 11:55:36.504 ,2024-10-04 11:55:41.831 ,        5 ,True        ,         1 ,      26 ,       7
          94 ,2024-10-04 11:55:41.832 ,2024-10-04 11:55:44.216 ,        2 ,True        ,         1 ,      27 ,       7
          89 ,2024-10-04 12:01:42.783 ,                        ,        3 ,True        ,         1 ,      33 ,       9
          74 ,2024-10-04 12:05:57.209 ,                        ,        3 ,True        ,         1 ,      16 ,       5
          75 ,2024-10-04 12:05:58.864 ,2024-10-04 12:05:59.968 ,        9 ,True        ,         1 ,      17 ,       5
          72 ,2024-10-04 12:07:47.584 ,2024-10-04 12:07:52.864 ,       26 ,True        ,         1 ,      13 ,       5
          95 ,2024-10-04 12:07:52.865 ,2024-10-04 12:08:36.376 ,       45 ,True        ,         1 ,      14 ,       5
          73 ,2024-10-03 19:45:47.418 ,2024-10-03 19:45:50.550 ,        3 ,True        ,         1 ,      15 ,       5
