id,checksum,finished_at,migration_name,logs,rolled_back_at,started_at,applied_steps_count
7b439cd1-a1b8-420b-945f-c62212d98b7f,74663ffd0ee3650602daa1be4c153c183ea49bd61b6fad08d35e6209277a2193,2024-09-30 12:26:00.749579+00:00,20240930122600_initial_01,,,2024-09-30 12:26:00.491712+00:00,1
20d7c3ad-8234-4bcf-9720-d89111cf6619,486df03decd834edcd7328603ff133ec3e653a0963747090670ed2bef072a26d,2024-09-30 14:20:08.363877+00:00,20240930142007_init_03,,,2024-09-30 14:20:08.139543+00:00,1
9b6dc052-72f6-403f-a34d-38616d3a945e,b54c6ab7f5572367f9f5269371377621db6629f377563e0fa29d08a40e8fe2e4,2024-09-30 14:22:53.196986+00:00,20240930142252_init_04,,,2024-09-30 14:22:52.939074+00:00,1
a7f85f28-2567-4673-ba68-6f76f13f40e9,c99f9c9b5f1c1a5f250126f3e6d7241f9abcb1dfa37ebcc0eee41343e5adc4ab,2024-09-30 16:08:43.753697+00:00,20240930160843_init_06,,,2024-09-30 16:08:43.524861+00:00,1
3903850e-6e88-413c-99a3-c2eb0631e205,977930c2105697a3566f16008c8e7ef844ba574669474cdd46d347bbf3718e23,2024-09-30 18:13:39.791870+00:00,20240930181339_init_07,,,2024-09-30 18:13:39.537776+00:00,1
a7e8f53f-ee10-401a-b7dd-ae93d6f820e6,ff539a2225ebb727682a17731cd906a85b3e6b813a868bf6e90cc2fdd53515ff,2024-09-30 18:27:41.033836+00:00,20240930182740_init_08,,,2024-09-30 18:27:40.760150+00:00,1
6219ff29-de25-4402-a5e0-8df7c5c94a60,c23d200dc0d1f0282895b7eebd73973fe22d716f5258785deb07289d4864a8c6,2024-09-30 20:26:12.029413+00:00,20240930202611_init_09,,,2024-09-30 20:26:11.796207+00:00,1
df1567b4-d5b5-4e14-a720-05517f3fd295,f7a8c35ca0ceaab329300beb5b8cfb978bfe2c804722b6d9db25d69443ba420c,2024-10-01 04:55:46.845021+00:00,20241001045546_init_11,,,2024-10-01 04:55:46.626789+00:00,1
8f94a81c-b4e6-4fee-98eb-3cbd2125928f,d9d34a19aab073f11d706318428d2a6ede99e085ac3930231fbe1d6b463c3de7,2024-10-01 07:56:18.626344+00:00,20241001075618_init_14,,,2024-10-01 07:56:18.413492+00:00,1
646c5801-3776-4a47-ac37-aa3c282bacdb,42e570b013020d98b1f3f9cb48fd7dd09ceed30ef060f02e6916b2b991d0ebe9,2024-10-01 11:00:52.288124+00:00,20241001110051_init_15,,,2024-10-01 11:00:52.092687+00:00,1
a799cb0c-eb1a-408c-9e5e-20407dea02af,f84cb9f74c87b7e7e9bd307d1c38a736345b8706ee25b3e4ecd9abb8196b99d7,2024-10-02 08:23:53.442432+00:00,20241002082352_init_23,,,2024-10-02 08:23:52.510264+00:00,1
79446185-8e73-4e81-8c1d-3d8198b1b7b3,9a6081c95d12c641b0e4989a15f292ac27c93134918ec220d63a6a6dee120723,2024-10-03 15:23:57.573503+00:00,20241003152357_init_87,,,2024-10-03 15:23:57.334503+00:00,1
a1ccba46-244b-470b-a03c-583e06019088,b2ec087c224a1beb3bc59f486af88095199e9a3bccb62bd656697ea53580f447,2024-10-04 05:14:48.879460+00:00,20241004051448_init_final,,,2024-10-04 05:14:48.616505+00:00,1
